x,y
0.0,0.19560715135805953
0.02040816326530612,0.21145151432422385
0.04081632653061224,0.22603417398270587
0.046938775510204075,0.22847967666463484
0.061224489795918366,0.2449240975148694
0.08163265306122448,0.25420566057375543
0.08571428571428572,0.30311571421233524
0.10204081632653061,0.2807065362446827
0.12244897959183673,0.29468176238300575
0.1326530612244898,0.2937035613102342
0.14285714285714285,0.3120605706799625
0.16326530612244897,0.33182075079651735
0.182326530612244897,0.18182075079651735
0.1836734693877551,0.3565530878379273
0.20408163265306123,0.35352959548812973
0.22448979591836735,0.39082044961818907
0.24489795918367346,0.3708254425521047
0.2653061224489796,0.42586295749253655
0.2857142857142857,0.40270805771906737
0.30612244897959184,0.45108725141746475
0.32653061224489793,0.43848207413764406
0.3469387755102041,0.46943133875102167
0.3673469387755102,0.4686193046944818
0.3877551020408163,0.5302101114277645
0.40816326530612246,0.5326508796165014
0.42857142857142855,0.5194115639272351
0.4489795918367347,0.5323208541385696
0.46938775510204084,0.5828501142308976
0.4897959183673469,0.5752196176346998
0.5102040816326531,0.5791358749755731
0.5306122448979592,0.585527176670773
0.5510204081632653,0.6293772211461522
0.5714285714285714,0.6468353811141321
0.5918367346938775,0.6753395930180741
0.6122448979591837,0.68155205999315
0.6326530612244898,0.7399695922283724
0.6530612244897959,0.7344369260888192
0.673469387755102,0.7193577902578627
0.6938775510204082,0.7380281174311998
0.7142857142857143,0.729903316268909
0.7346938775510204,0.8283510080083267
0.7551020408163265,0.8295613264136563
0.7755102040816326,0.7701489636874251
0.7816326530612244,0.6821108671379815
0.7959183673469388,0.8702185519335411
0.8163265306122449,0.8272699295287318
0.8367346938775511,0.8752859073867982
0.8571428571428571,0.9042414612657173
0.8775510204081632,0.9175988066964241
0.8979591836734694,0.8688832487771435
0.9183673469387755,0.9791607369340387
0.9387755102040817,0.9348756962236088
0.9591836734693877,0.9547978664378145
0.9795918367346939,1.0
1.0,0.9158135114825302
